annotator,conclusion_id,conclusion_sentence,conclusion,premise_1_id,premise_1_sentence,premise_1,premise_2_id,premise_2_sentence,premise_2,premise_3_id,premise_3_sentence,premise_3,premise_4_id,premise_4_sentence,premise_4,premise_5_id,premise_5_sentence,premise_5,premise_6_id,premise_6_sentence,premise_6,premise_7_id,premise_7_sentence,premise_7,premise_8_id,premise_8_sentence,premise_8
ZP,623,"No moim zdaniem aborcja powinna być prawem, prawem kobiety do wolnego wyboru, czyli jeżeli rozmawiamy o aborcji w kontekście praw człowieka, to, to ta dana kobieta, jeżeli potrzebuje i chce porozmawiać z partnerem, z rodziną, z przyjaciółką, to ona we własnym kąciku, w domu powinna tę decyzję podjąć i nie sądzę, że te osoby, które tej decyzji nigdy w życiu nie będą w stanie podjąć głosowały za tym, czy ona ma do tego prawo, czy do tego prawa, czy tego prawa nie ma.",Aborcja powinna być prawem kobiety do wolnego wyboru.,623,"No moim zdaniem aborcja powinna być prawem, prawem kobiety do wolnego wyboru, czyli jeżeli rozmawiamy o aborcji w kontekście praw człowieka, to, to ta dana kobieta, jeżeli potrzebuje i chce porozmawiać z partnerem, z rodziną, z przyjaciółką, to ona we własnym kąciku, w domu powinna tę decyzję podjąć i nie sądzę, że te osoby, które tej decyzji nigdy w życiu nie będą w stanie podjąć głosowały za tym, czy ona ma do tego prawo, czy do tego prawa, czy tego prawa nie ma.","Dana kobieta sama podjąć decyzję o aborcji podjąć, np. po rozmowie z partnerem, rodziną, przyjaciółką. ",623,"No moim zdaniem aborcja powinna być prawem, prawem kobiety do wolnego wyboru, czyli jeżeli rozmawiamy o aborcji w kontekście praw człowieka, to, to ta dana kobieta, jeżeli potrzebuje i chce porozmawiać z partnerem, z rodziną, z przyjaciółką, to ona we własnym kąciku, w domu powinna tę decyzję podjąć i nie sądzę, że te osoby, które tej decyzji nigdy w życiu nie będą w stanie podjąć głosowały za tym, czy ona ma do tego prawo, czy do tego prawa, czy tego prawa nie ma.","Osoby, których nie dotyczy aborcja nie powinny mieć prawa głosu za tym, czy dana kobieta ma prawo do aborcji, czy tego prawa nie ma.",,,,,,,,,,,,,,,,,,
HŁ,623,"No moim zdaniem aborcja powinna być prawem, prawem kobiety do wolnego wyboru, czyli jeżeli rozmawiamy o aborcji w kontekście praw człowieka, to, to ta dana kobieta, jeżeli potrzebuje i chce porozmawiać z partnerem, z rodziną, z przyjaciółką, to ona we własnym kąciku, w domu powinna tę decyzję podjąć i nie sądzę, że te osoby, które tej decyzji nigdy w życiu nie będą w stanie podjąć głosowały za tym, czy ona ma do tego prawo, czy do tego prawa, czy tego prawa nie ma.",Nie należy robić referendum.,623,"No moim zdaniem aborcja powinna być prawem, prawem kobiety do wolnego wyboru, czyli jeżeli rozmawiamy o aborcji w kontekście praw człowieka, to, to ta dana kobieta, jeżeli potrzebuje i chce porozmawiać z partnerem, z rodziną, z przyjaciółką, to ona we własnym kąciku, w domu powinna tę decyzję podjąć i nie sądzę, że te osoby, które tej decyzji nigdy w życiu nie będą w stanie podjąć głosowały za tym, czy ona ma do tego prawo, czy do tego prawa, czy tego prawa nie ma.",Kobieta powinna mieć prawo do wolnego wyboru w sprawie aborcji.,623,"No moim zdaniem aborcja powinna być prawem, prawem kobiety do wolnego wyboru, czyli jeżeli rozmawiamy o aborcji w kontekście praw człowieka, to, to ta dana kobieta, jeżeli potrzebuje i chce porozmawiać z partnerem, z rodziną, z przyjaciółką, to ona we własnym kąciku, w domu powinna tę decyzję podjąć i nie sądzę, że te osoby, które tej decyzji nigdy w życiu nie będą w stanie podjąć głosowały za tym, czy ona ma do tego prawo, czy do tego prawa, czy tego prawa nie ma.","Osoby, które decyzji o aborcji nigdy w życiu nie będą w stanie podjąć nie powinny głosować za tym, czy kobieta ma do niej prawo, czy tego prawa nie ma.",,,,,,,,,,,,,,,,,,
MI,623,"No moim zdaniem aborcja powinna być prawem, prawem kobiety do wolnego wyboru, czyli jeżeli rozmawiamy o aborcji w kontekście praw człowieka, to, to ta dana kobieta, jeżeli potrzebuje i chce porozmawiać z partnerem, z rodziną, z przyjaciółką, to ona we własnym kąciku, w domu powinna tę decyzję podjąć i nie sądzę, że te osoby, które tej decyzji nigdy w życiu nie będą w stanie podjąć głosowały za tym, czy ona ma do tego prawo, czy do tego prawa, czy tego prawa nie ma.",Aborcja na życzenie powinna być legalna.,623,"No moim zdaniem aborcja powinna być prawem, prawem kobiety do wolnego wyboru, czyli jeżeli rozmawiamy o aborcji w kontekście praw człowieka, to, to ta dana kobieta, jeżeli potrzebuje i chce porozmawiać z partnerem, z rodziną, z przyjaciółką, to ona we własnym kąciku, w domu powinna tę decyzję podjąć i nie sądzę, że te osoby, które tej decyzji nigdy w życiu nie będą w stanie podjąć głosowały za tym, czy ona ma do tego prawo, czy do tego prawa, czy tego prawa nie ma.",Aborcja jest prawem człowieka. Polska powinna prawa człowieka implementować.,,,,,,,,,,,,,,,,,,,,,
MI,623,"No moim zdaniem aborcja powinna być prawem, prawem kobiety do wolnego wyboru, czyli jeżeli rozmawiamy o aborcji w kontekście praw człowieka, to, to ta dana kobieta, jeżeli potrzebuje i chce porozmawiać z partnerem, z rodziną, z przyjaciółką, to ona we własnym kąciku, w domu powinna tę decyzję podjąć i nie sądzę, że te osoby, które tej decyzji nigdy w życiu nie będą w stanie podjąć głosowały za tym, czy ona ma do tego prawo, czy do tego prawa, czy tego prawa nie ma.",Referendum nie jest potrzebne.,633,"No ja myślę, że obywatele w Polsce pewien sposób zdecydowali i frekwencją, która była w wyborach i w tym, jaką mamy w tym momencie większość parlamentarną, więc…","Wyborcy swoim wyborem i frekwencją zdecydowali się, że są za legalną aborcją.",623,"No moim zdaniem aborcja powinna być prawem, prawem kobiety do wolnego wyboru, czyli jeżeli rozmawiamy o aborcji w kontekście praw człowieka, to, to ta dana kobieta, jeżeli potrzebuje i chce porozmawiać z partnerem, z rodziną, z przyjaciółką, to ona we własnym kąciku, w domu powinna tę decyzję podjąć i nie sądzę, że te osoby, które tej decyzji nigdy w życiu nie będą w stanie podjąć głosowały za tym, czy ona ma do tego prawo, czy do tego prawa, czy tego prawa nie ma.","Uważam, że osoby, które decyzji o aborcji nigdy w życiu nie będą w stanie podjąć nie powinny głosować za tym, czy aborcja powinna być legalna.",,,,,,,,,,,,,,,,,,
WG,623,"No moim zdaniem aborcja powinna być prawem, prawem kobiety do wolnego wyboru, czyli jeżeli rozmawiamy o aborcji w kontekście praw człowieka, to, to ta dana kobieta, jeżeli potrzebuje i chce porozmawiać z partnerem, z rodziną, z przyjaciółką, to ona we własnym kąciku, w domu powinna tę decyzję podjąć i nie sądzę, że te osoby, które tej decyzji nigdy w życiu nie będą w stanie podjąć głosowały za tym, czy ona ma do tego prawo, czy do tego prawa, czy tego prawa nie ma.","Referendum nie powinno być sposobem decydowania o tym, czy aborcja powinna być legalna czy nie.",623,"No moim zdaniem aborcja powinna być prawem, prawem kobiety do wolnego wyboru, czyli jeżeli rozmawiamy o aborcji w kontekście praw człowieka, to, to ta dana kobieta, jeżeli potrzebuje i chce porozmawiać z partnerem, z rodziną, z przyjaciółką, to ona we własnym kąciku, w domu powinna tę decyzję podjąć i nie sądzę, że te osoby, które tej decyzji nigdy w życiu nie będą w stanie podjąć głosowały za tym, czy ona ma do tego prawo, czy do tego prawa, czy tego prawa nie ma.","Aborcja powinna być prawem, prawem kobiety do wolnego wyboru.",623,"No moim zdaniem aborcja powinna być prawem, prawem kobiety do wolnego wyboru, czyli jeżeli rozmawiamy o aborcji w kontekście praw człowieka, to, to ta dana kobieta, jeżeli potrzebuje i chce porozmawiać z partnerem, z rodziną, z przyjaciółką, to ona we własnym kąciku, w domu powinna tę decyzję podjąć i nie sądzę, że te osoby, które tej decyzji nigdy w życiu nie będą w stanie podjąć głosowały za tym, czy ona ma do tego prawo, czy do tego prawa, czy tego prawa nie ma.","Osoby, które nigdy w życiu nie będą w stanie podjąć decyzji o aborcji  nie będą głosowały za tym, czy kobieta ma do tego prawo, czy tego prawa nie ma.",,,,,,,,,,,,,,,,,,
MS,623,"No moim zdaniem aborcja powinna być prawem, prawem kobiety do wolnego wyboru, czyli jeżeli rozmawiamy o aborcji w kontekście praw człowieka, to, to ta dana kobieta, jeżeli potrzebuje i chce porozmawiać z partnerem, z rodziną, z przyjaciółką, to ona we własnym kąciku, w domu powinna tę decyzję podjąć i nie sądzę, że te osoby, które tej decyzji nigdy w życiu nie będą w stanie podjąć głosowały za tym, czy ona ma do tego prawo, czy do tego prawa, czy tego prawa nie ma.",Aborcja powinna być prawem kobiety do wolnego wyboru.,623,"No moim zdaniem aborcja powinna być prawem, prawem kobiety do wolnego wyboru, czyli jeżeli rozmawiamy o aborcji w kontekście praw człowieka, to, to ta dana kobieta, jeżeli potrzebuje i chce porozmawiać z partnerem, z rodziną, z przyjaciółką, to ona we własnym kąciku, w domu powinna tę decyzję podjąć i nie sądzę, że te osoby, które tej decyzji nigdy w życiu nie będą w stanie podjąć głosowały za tym, czy ona ma do tego prawo, czy do tego prawa, czy tego prawa nie ma.","Dana kobieta, jeżeli potrzebuje i chce porozmawiać z partnerem, z rodziną, z przyjaciółką, ona we własnym kąciku, w domu powinna tę decyzję podjąć.",623,"No moim zdaniem aborcja powinna być prawem, prawem kobiety do wolnego wyboru, czyli jeżeli rozmawiamy o aborcji w kontekście praw człowieka, to, to ta dana kobieta, jeżeli potrzebuje i chce porozmawiać z partnerem, z rodziną, z przyjaciółką, to ona we własnym kąciku, w domu powinna tę decyzję podjąć i nie sądzę, że te osoby, które tej decyzji nigdy w życiu nie będą w stanie podjąć głosowały za tym, czy ona ma do tego prawo, czy do tego prawa, czy tego prawa nie ma.","Nie sądzę, że te osoby, które tej decyzji nigdy w życiu nie będą w stanie podjąć głosowały za tym, czy ona ma do tego prawo, czy do tego prawa, czy tego prawa nie ma.",,,,,,,,,,,,,,,,,,
ZP,624,Czyli referendum to nie jest sposób.,Referendum nie jest metodą rozwiązania problemu aborcji w Polsce.,623,"No moim zdaniem aborcja powinna być prawem, prawem kobiety do wolnego wyboru, czyli jeżeli rozmawiamy o aborcji w kontekście praw człowieka, to, to ta dana kobieta, jeżeli potrzebuje i chce porozmawiać z partnerem, z rodziną, z przyjaciółką, to ona we własnym kąciku, w domu powinna tę decyzję podjąć i nie sądzę, że te osoby, które tej decyzji nigdy w życiu nie będą w stanie podjąć głosowały za tym, czy ona ma do tego prawo, czy do tego prawa, czy tego prawa nie ma.",Aborcja powinna być prawem kobiety do wolnego wyboru.,623,"No moim zdaniem aborcja powinna być prawem, prawem kobiety do wolnego wyboru, czyli jeżeli rozmawiamy o aborcji w kontekście praw człowieka, to, to ta dana kobieta, jeżeli potrzebuje i chce porozmawiać z partnerem, z rodziną, z przyjaciółką, to ona we własnym kąciku, w domu powinna tę decyzję podjąć i nie sądzę, że te osoby, które tej decyzji nigdy w życiu nie będą w stanie podjąć głosowały za tym, czy ona ma do tego prawo, czy do tego prawa, czy tego prawa nie ma.","Dana kobieta sama podjąć decyzję o aborcji podjąć, np. po rozmowie z partnerem, rodziną, przyjaciółką. ",623,"No moim zdaniem aborcja powinna być prawem, prawem kobiety do wolnego wyboru, czyli jeżeli rozmawiamy o aborcji w kontekście praw człowieka, to, to ta dana kobieta, jeżeli potrzebuje i chce porozmawiać z partnerem, z rodziną, z przyjaciółką, to ona we własnym kąciku, w domu powinna tę decyzję podjąć i nie sądzę, że te osoby, które tej decyzji nigdy w życiu nie będą w stanie podjąć głosowały za tym, czy ona ma do tego prawo, czy do tego prawa, czy tego prawa nie ma.","Osoby, których nie dotyczy aborcja nie powinny mieć prawa głosu za tym, czy dana kobieta ma prawo do aborcji, czy tego prawa nie ma.",,,,,,,,,,,,,,,
KW,626,"Ja myślę, że rzeczywiście z punktu widzenia politycznego zapewne jest aktualnie mała szansa na to, że na pewno jakakolwiek ustawa, która by mocno liberalizowała prawo do aborcji, czyli coś więcej niż kompromis, będzie miała ciężko przejść, nawet z uwagi na kwestie pana prezydenta.",Ustawa liberalizująca aborcję będzie trudna do przejścia,626,"Ja myślę, że rzeczywiście z punktu widzenia politycznego zapewne jest aktualnie mała szansa na to, że na pewno jakakolwiek ustawa, która by mocno liberalizowała prawo do aborcji, czyli coś więcej niż kompromis, będzie miała ciężko przejść, nawet z uwagi na kwestie pana prezydenta.",Prezydent może zawetować ustawę o liberalizacji aborcji,,,,,,,,,,,,,,,,,,,,,
MS,626,"Ja myślę, że rzeczywiście z punktu widzenia politycznego zapewne jest aktualnie mała szansa na to, że na pewno jakakolwiek ustawa, która by mocno liberalizowała prawo do aborcji, czyli coś więcej niż kompromis, będzie miała ciężko przejść, nawet z uwagi na kwestie pana prezydenta.","Z punktu widzenia politycznego zapewne jest aktualnie mała szansa na to, że na pewno jakakolwiek ustawa, która by mocno liberalizowała prawo do aborcji, czyli coś więcej niż kompromis, będzie miała ciężko przejść.",626,"Ja myślę, że rzeczywiście z punktu widzenia politycznego zapewne jest aktualnie mała szansa na to, że na pewno jakakolwiek ustawa, która by mocno liberalizowała prawo do aborcji, czyli coś więcej niż kompromis, będzie miała ciężko przejść, nawet z uwagi na kwestie pana prezydenta.",Z uwagi na kwestie pana prezydenta.,,,,,,,,,,,,,,,,,,,,,
MS,630,Tej spór możemy ciągnąć na wieki.,Tej spór możemy ciągnąć na wieki.,629,"Panie powiedzą, że prawej kobiety jest praw do życia, także tej kobiety nienarodzonej.","Panie powiedzą, że prawej kobiety jest praw do życia, także tej kobiety nienarodzonej.",628,Pani mówi: to powinno być prawo kobiety.,Pani mówi: to powinno być prawo kobiety.,,,,,,,,,,,,,,,,,,
DZ,633,"No ja myślę, że obywatele w Polsce pewien sposób zdecydowali i frekwencją, która była w wyborach i w tym, jaką mamy w tym momencie większość parlamentarną, więc…",Obywatele już podjęli decyzję w sprawie referendum.,633,"No ja myślę, że obywatele w Polsce pewien sposób zdecydowali i frekwencją, która była w wyborach i w tym, jaką mamy w tym momencie większość parlamentarną, więc…",W ostatnich wyborach do Sejmu była wysoka frekwencja.,633,"No ja myślę, że obywatele w Polsce pewien sposób zdecydowali i frekwencją, która była w wyborach i w tym, jaką mamy w tym momencie większość parlamentarną, więc…",Obywatele głosowali na określoną większość parlamentarną.,,,,,,,,,,,,,,,,,,
ZP,633,"No ja myślę, że obywatele w Polsce pewien sposób zdecydowali i frekwencją, która była w wyborach i w tym, jaką mamy w tym momencie większość parlamentarną, więc…",Polacy chcą liberalizaji prawa aborcyjnego.,633,"No ja myślę, że obywatele w Polsce pewien sposób zdecydowali i frekwencją, która była w wyborach i w tym, jaką mamy w tym momencie większość parlamentarną, więc…","Polacy frekwencją, która była w wyborach i w tym, jaką mamy w tym momencie większość parlamentarną wyrazili mastroje na liberalizację prawa aborcyjnego.",,,,,,,,,,,,,,,,,,,,,
MS,642,Nie wiem.,Nie wiem czy te ustawy przejdą do komisji.,644,"…Dlatego, że będziemy ciągle w tym samym miejscu.",Będziemy ciągle w tym samym miejscu.,645,Znowu nie posunie to sprawy kobiet do przodu.,Nie posunie to sprawy kobiet do przodu.,,,,,,,,,,,,,,,,,,
ZP,646,"Owszem, może być referendum, ale tutaj, ja myślę, że tutaj, tutaj muszą rozstrzygnąć to politycy, co będzie lepsze dla kobiet.","To politycy, a nie referendum, powinni zdecydować o prawie aborcyjnym w Polsce.",658,"Oczywiście, no w niektórych sprawach referendum jest bardzo dobre, możemy pytać kobiety, tylko jakie oczekiwania są z naszej strony prawej i z lewej, co do tego referendum.",Temat aborcji nie jest tematem na referendum.,,,,,,,,,,,,,,,,,,,,,
HŁ,646,"Owszem, może być referendum, ale tutaj, ja myślę, że tutaj, tutaj muszą rozstrzygnąć to politycy, co będzie lepsze dla kobiet.",Politycy muszą rozstrzygnąć sprawę legalizacji aborcji.,656,No bo to zależy potem od tych dalszych etapów i dalszego działania.,Dalsze działania należą do polityków.,657,"Ja takie, ja nie jestem politykiem i, i trudno mi się na ten temat wypowiedzieć.",Politycy mają wiedzę na temat procesu wprowadzania ustaw.,,,,,,,,,,,,,,,,,,
HŁ,646,"Owszem, może być referendum, ale tutaj, ja myślę, że tutaj, tutaj muszą rozstrzygnąć to politycy, co będzie lepsze dla kobiet.",Referendum nie jest konieczne.,646,"Owszem, może być referendum, ale tutaj, ja myślę, że tutaj, tutaj muszą rozstrzygnąć to politycy, co będzie lepsze dla kobiet.",Ostateczne rozstrzygnięcie należy do polityków.,,,,,,,,,,,,,,,,,,,,,
WG,646,"Owszem, może być referendum, ale tutaj, ja myślę, że tutaj, tutaj muszą rozstrzygnąć to politycy, co będzie lepsze dla kobiet.","Referendum nie powinno być sposobem decydowania o tym,  czy aborcja powinna być legalna czy nie.",645,Znowu nie posunie to sprawy kobiet do przodu.,Referendum nie posunie sprawy kobiet do przodu.,646,"Owszem, może być referendum, ale tutaj, ja myślę, że tutaj, tutaj muszą rozstrzygnąć to politycy, co będzie lepsze dla kobiet.","To politycy muszą rozstrzygnąć, co będzie lepsze dla kobiet.",656,No bo to zależy potem od tych dalszych etapów i dalszego działania.,Od polityków zależą dalsze etapy i dalsze działanie.,,,,,,,,,,,,,,,
MS,646,"Owszem, może być referendum, ale tutaj, ja myślę, że tutaj, tutaj muszą rozstrzygnąć to politycy, co będzie lepsze dla kobiet.","Muszą rozstrzygnąć to politycy, co będzie lepsze dla kobiet.",656,No bo to zależy potem od tych dalszych etapów i dalszego działania.,To zależy od dalszych etapów i dalszego działania.,,,,,,,,,,,,,,,,,,,,,
DZ,653,I tak na końcu decyduje ustawodawca.,W sprawie aborcji nie powinno być referendum.,653,I tak na końcu decyduje ustawodawca.,"O kształcie ustaw aborcyjnych, niezależnie od wyniku referendum, decyduje ustawodawca.",667,I to wydłuża tylko ten proces decyzyjny.,Referendum wydłużyłoby proces decyzyjny w sprawie aborcji.,,,,,,,,,,,,,,,,,,
KW,653,I tak na końcu decyduje ustawodawca.,Referendum nie rozwiązuje sprawy aborcji,653,I tak na końcu decyduje ustawodawca.,"Ustawodawca jest organem, który jedynie może rozstrzygnąć sprawę aborcji ",654,I tak musi być ustawa.,Aby aborcja była legalna potrzebna jest ustawa,661,Ono nie zmienia samo w sobie prawa.,Referendum nie może zmienić prawa,,,,,,,,,,,,,,,
ZP,661,Ono nie zmienia samo w sobie prawa.,Referendum nie zmienia samo w sobie prawa.,662,Nie jest źródłem prawa.,Referendum nie jest źródłem prawa.,663,"Źródłem prawa jest ustawa, która musi zostać przyjęta przez sejm.","Źródłem prawa jest ustawa, która musi zostać przyjęta przez sejm.",664,"Co więcej, wbrew temu co twierdzi pan marszałek Sejmu Szymon Hołownia, Konstytucja przewiduje tylko dwa przypadki, w których prezydent nie może zawetować jakiejś ustawy — jest to ustawa budżetowa i prowizorium budżetowe.","Konstytucja przewiduje tylko dwa przypadki, w których prezydent nie może zawetować jakiejś ustawy — jest to ustawa budżetowa i prowizorium budżetowe.",665,"Każdą inną, niestety nawet tę przyjętą w wyniku wiążącego, przyjmijmy że by było, referendum, także.","Prezydent może zawetować każdą inną ustawę niż ustawa budżetowa i prowizorium budżetowe, w tym referendum.",,,,,,,,,,,,
WG,661,Ono nie zmienia samo w sobie prawa.,"Referendum nie jest dobrym sposobem decydowania o tym,  czy aborcja powinna być legalna czy nie.",661,Ono nie zmienia samo w sobie prawa.,Referendum nie zmienia samo w sobie prawa.,662,Nie jest źródłem prawa.,Referendum nie jest źródłem prawa.,654,I tak musi być ustawa.,Musi być ustawa.,653,I tak na końcu decyduje ustawodawca., Na końcu decyduje ustawodawca.,665,"Każdą inną, niestety nawet tę przyjętą w wyniku wiążącego, przyjmijmy że by było, referendum, także.","Prezydent może zawetować ustawę, nawet tę przyjętą w wyniku wiążącego referendum.",667,I to wydłuża tylko ten proces decyzyjny.,Referendum wydłuża tylko proces decyzyjny.,,,,,,
MS,662,Nie jest źródłem prawa.,Rederendum nie jest źródłem prawa.,663,"Źródłem prawa jest ustawa, która musi zostać przyjęta przez sejm.","Źródłem prawa jest ustawa, która musi zostać przyjęta przez sejm.",664,"Co więcej, wbrew temu co twierdzi pan marszałek Sejmu Szymon Hołownia, Konstytucja przewiduje tylko dwa przypadki, w których prezydent nie może zawetować jakiejś ustawy — jest to ustawa budżetowa i prowizorium budżetowe.",Pan marszałek Sejmu Szymon Hołownia mówi nieprawdę.,664,"Co więcej, wbrew temu co twierdzi pan marszałek Sejmu Szymon Hołownia, Konstytucja przewiduje tylko dwa przypadki, w których prezydent nie może zawetować jakiejś ustawy — jest to ustawa budżetowa i prowizorium budżetowe."," Konstytucja przewiduje tylko dwa przypadki, w których prezydent nie może zawetować jakiejś ustawy — jest to ustawa budżetowa i prowizorium budżetowe.",666,Także to jest bardziej skomplikowane.,To jest bardziej skomplikowane.,667,I to wydłuża tylko ten proces decyzyjny.,To wydłuża tylko ten proces decyzyjny.,,,,,,,,,
HŁ,667,I to wydłuża tylko ten proces decyzyjny.,Referendum wydłuża proces decyzyjny.,661,Ono nie zmienia samo w sobie prawa.,Referendum nie zmienia prawa.,664,"Co więcej, wbrew temu co twierdzi pan marszałek Sejmu Szymon Hołownia, Konstytucja przewiduje tylko dwa przypadki, w których prezydent nie może zawetować jakiejś ustawy — jest to ustawa budżetowa i prowizorium budżetowe.","Prezydent może zawetować ustawę o legalizacji aborcji, nawet tę przyjętą w wyniku wiążącego referendum.",,,,,,,,,,,,,,,,,,
MI,667,I to wydłuża tylko ten proces decyzyjny.,Referendum w sprawie aborcji tylko wydłuży proces decyzyjny.,653,I tak na końcu decyduje ustawodawca.,"Referendum nie jest wiążące, nie jest obowiązującym prawem. Ustawa i tak musi przejść proces legislacyjny.",665,"Każdą inną, niestety nawet tę przyjętą w wyniku wiążącego, przyjmijmy że by było, referendum, także.",Prezydent także może ustawę na podstawie referendum zawetować.,,,,,,,,,,,,,,,,,,
KW,675,"Ja powiedziałam, że uważam, że Lewica, gdyby tak bardzo zależało na, na tym, by Polki i Polacy mogli demokratycznie zadecydować, to zdecydowalibyście się państwo na referendum, które być może przyspieszyłoby te prace…",Lewicy nie zależy tym by Polki i Polacy mogli demokratycznie zdecydować o aborcji,675,"Ja powiedziałam, że uważam, że Lewica, gdyby tak bardzo zależało na, na tym, by Polki i Polacy mogli demokratycznie zadecydować, to zdecydowalibyście się państwo na referendum, które być może przyspieszyłoby te prace…",Lewica nie popiera referendum w sprawie aborcji,,,,,,,,,,,,,,,,,,,,,
MI,675,"Ja powiedziałam, że uważam, że Lewica, gdyby tak bardzo zależało na, na tym, by Polki i Polacy mogli demokratycznie zadecydować, to zdecydowalibyście się państwo na referendum, które być może przyspieszyłoby te prace…",Lewica chce Polkom i Polakom aborcję narzucić.,675,"Ja powiedziałam, że uważam, że Lewica, gdyby tak bardzo zależało na, na tym, by Polki i Polacy mogli demokratycznie zadecydować, to zdecydowalibyście się państwo na referendum, które być może przyspieszyłoby te prace…","Gdyby Lewicy, zależało na, na tym, by Polki i Polacy mogli demokratycznie zadecydować, to zdecydowalibyście się na referendum.",680,"Ja właśnie chciałam to powiedzieć, że wydaje mi się, że państwo bardzo dobrze wiecie, jakie są nastroje, jakie są zdania, zdania Polaków na temat aborcji, bo chyba nawet dla RMF FM w listopadzie słyszałam, że większość, więcej niż pięćdziesiąt procent przeciw, Polek i Polaków jest przeciwnym, a chyba CBOŚ, CBOŚ miał też takie, takie dane statystyczne, które mówiły o tym, że około siedemdziesięciu Polaków, Polek i Polaków absolutnie nie popiera, by aborcja była inna niż ta z dwa tysiące dwudziestego roku, czyli z tego czasu przed wyrokiem Trybunału Konstytucyjnego.","Lewica wie, że większość Polaków jest przeciwnych aborcji na życzenie.",,,,,,,,,,,,,,,,,,
WG,675,"Ja powiedziałam, że uważam, że Lewica, gdyby tak bardzo zależało na, na tym, by Polki i Polacy mogli demokratycznie zadecydować, to zdecydowalibyście się państwo na referendum, które być może przyspieszyłoby te prace…","Lewicy nie zależy na tym, aby Polki i Polacy mogli demokratycznie zdecydować o aborcji w referendum.",680,"Ja właśnie chciałam to powiedzieć, że wydaje mi się, że państwo bardzo dobrze wiecie, jakie są nastroje, jakie są zdania, zdania Polaków na temat aborcji, bo chyba nawet dla RMF FM w listopadzie słyszałam, że większość, więcej niż pięćdziesiąt procent przeciw, Polek i Polaków jest przeciwnym, a chyba CBOŚ, CBOŚ miał też takie, takie dane statystyczne, które mówiły o tym, że około siedemdziesięciu Polaków, Polek i Polaków absolutnie nie popiera, by aborcja była inna niż ta z dwa tysiące dwudziestego roku, czyli z tego czasu przed wyrokiem Trybunału Konstytucyjnego.","Lewica wie, że Polacy mają inne zdanie w sprawie aborcji od niej, bo w listopadzie słyszałam w RMF FM, że większość, więcej niż pięćdziesiąt procent Polek i Polaków jest przeciwnym aborcji, a CBOŚ miał też takie dane statystyczne, które mówiły o tym, że około siedemdziesięciu Polaków, Polek i Polaków absolutnie nie popiera, by aborcja była inna niż ta z dwa tysiące dwudziestego roku, czyli z tego czasu przed wyrokiem Trybunału Konstytucyjnego. ",681,"Więc myślę, że państwo zupełnie świadomie wiecie, że, że to referendum nie przyniosłoby odpowiedzi i w zasadzie takiego samego zdania, jakie państwo prezentujecie, chociaż uważam, że pani poseł tu powinna też trochę bardzo po cichu mówić o tym, że nie do końca popiera referendum w tej sprawie i w ogóle, bo jednak jesteście partią demokratyczną i równouprawnienie, i w ogóle możliwość wypowiadania się Polek i Polaków leży wam na sercu, więc myślę, że to jest jakaś, jakieś rozwiązanie dla państwa.","Lewica wie, że referendum nie przyniosłoby odpowiedzi i takiego samego zdania, jakie Lewica prezentuje.",,,,,,,,,,,,,,,,,,
KW,680,"Ja właśnie chciałam to powiedzieć, że wydaje mi się, że państwo bardzo dobrze wiecie, jakie są nastroje, jakie są zdania, zdania Polaków na temat aborcji, bo chyba nawet dla RMF FM w listopadzie słyszałam, że większość, więcej niż pięćdziesiąt procent przeciw, Polek i Polaków jest przeciwnym, a chyba CBOŚ, CBOŚ miał też takie, takie dane statystyczne, które mówiły o tym, że około siedemdziesięciu Polaków, Polek i Polaków absolutnie nie popiera, by aborcja była inna niż ta z dwa tysiące dwudziestego roku, czyli z tego czasu przed wyrokiem Trybunału Konstytucyjnego.",Większość Polaków jest przeciwna aborcji,680,"Ja właśnie chciałam to powiedzieć, że wydaje mi się, że państwo bardzo dobrze wiecie, jakie są nastroje, jakie są zdania, zdania Polaków na temat aborcji, bo chyba nawet dla RMF FM w listopadzie słyszałam, że większość, więcej niż pięćdziesiąt procent przeciw, Polek i Polaków jest przeciwnym, a chyba CBOŚ, CBOŚ miał też takie, takie dane statystyczne, które mówiły o tym, że około siedemdziesięciu Polaków, Polek i Polaków absolutnie nie popiera, by aborcja była inna niż ta z dwa tysiące dwudziestego roku, czyli z tego czasu przed wyrokiem Trybunału Konstytucyjnego.","Są badania, które pokazują brak popracia Polaków na temat aborcji",,,,,,,,,,,,,,,,,,,,,
